id_bien;no_voie;BTQ;type_voie;voie;code_dep_code_com;type_local;surface_carrez;surface_bati;nb_pieces
0;347;;RUE;du chateau;1103;Appartement;48.22;48;3
1;4;;BD;edouard baudoin;6004;Appartement;39.11;40;1
2;20;B;RUE;marceau;6088;Appartement;80.25;82;3
3;550;;RTE;des vespins rn7;6123;Appartement;27.51;27;1
4;9300;;RES;les arpeges bd des aba;13005;Appartement;47.33;47;2
5;27;;RUE;du grand madier;13028;Appartement;25.31;24;1
6;360;;AV;du prado;13208;Appartement;70.84;70;3
7;5076;F;PARC;dessuard;13212;Appartement;67.19;66;3
8;1194;;RUE;de normandie;14338;Appartement;18.89;19;1
9;30;;ALL;des noisetiers;14366;Maison;105.37;99;4
10;11;;RUE;rouget de l isle;17300;Appartement;31.99;34;2
11;13;;RUE;berthe morisot;25056;Maison;96.21;100;5
12;1;;RUE;du poher;29232;Appartement;30.86;31;1
13;2;;RUE;des jardins;29260;Appartement;66.21;67;3
14;5;;AV;du commandant taillandier;31555;Appartement;45.58;46;2
15;15;;RUE;paul denuce;33063;Appartement;23.2;27;1
16;176;;RUE;sainte catherine;33063;Appartement;13.1;12;1
17;822;G;;la baynasse sud;33097;Appartement;29.0;29;2
18;9;;RUE;de belfort;33449;Appartement;51.4;51;2
19;183;;RUE;marc antoine menard;34145;Appartement;16.79;18;1
20;50;;AV;andre chassefiere;34150;Appartement;51.4;51;2
21;8;;PL;des etats du languedoc;34199;Appartement;68.22;85;3
22;7;;RUE;jean-jacques rousseau;37156;Maison;88.45;89;4
23;197;;AV;de grammont;37261;Appartement;42.94;46;2
24;48;;BD;mal foch;38185;Appartement;76.48;77;4
25;210;;RTE;du tailleur;40266;Maison;48.23;53;3
26;199;;RES;mer et golf-le boucanier;40328;Appartement;49.91;48;2
27;3;;ALL;jean perrin;44143;Appartement;46.3;45;2
28;12;;RUE;ferdinand buisson;44184;Appartement;47.24;48;2
29;35;;AV;de champagne;51230;Appartement;81.09;79;4
30;26;;RUE;messier;54395;Appartement;39.69;39;2
31;5794;;;golf saint laurent;56161;Appartement;43.85;44;3
32;5;;RUE;de pruneveaux;58194;Appartement;108.78;124;4
33;118;;BD;du general de gaulle;59512;Appartement;89.84;71;3
34;247;;RUE;de notre dame du thil;60057;Appartement;48.35;48;2
35;34;;RUE;de la ville;60155;Appartement;19.11;18;1
36;15;;SQ;jean baptiste clement;60159;Appartement;97.39;97;5
37;84;;AV;jean jaures;60524;Appartement;31.73;32;1
38;54;;RUE;de la bussiere;69149;Appartement;49.89;51;2
39;15;;RUE;artaud;69384;Appartement;20.02;20;1
40;1;;AV;d abondance;74119;Appartement;34.86;33;2
41;950;;AV;du mont d arbois;74236;Appartement;39.05;39;2
42;110;;RTE;de la telecabine;74238;Appartement;18.93;20;1
43;2308;;AV;des vallees;74278;Appartement;88.59;88;4
44;22;;BD;saint marcel;75105;Appartement;30.05;41;2
45;45;;BD;de magenta;75110;Appartement;32.3;32;2
46;14;;AV;de la republique;75111;Appartement;120.28;120;4
47;160;;RUE;saint maur;75111;Appartement;17.94;28;2
48;11;;RUE;du moulin joly;75111;Appartement;28.39;28;2
49;36;;RUE;erard;75112;Appartement;18.0;41;2
50;220;;RUE;de charenton;75112;Appartement;51.44;51;3
51;17;;RUE;d austerlitz;75112;Appartement;10.06;10;1
52;60;A;RUE;emeriau;75115;Appartement;88.3;88;4
53;4;;RUE;square carpeaux;75118;Appartement;23.98;18;1
54;36;;AV;de clichy;75118;Appartement;53.59;39;2
55;68;;RUE;marcadet;75118;Appartement;24.3;25;2
56;16;;AV;alexandre anquetin;76217;Appartement;61.52;59;4
57;5;;PARC;de la bresle;76451;Appartement;57.27;58;3
58;4;;RUE;francois lapert;76655;Appartement;23.98;25;1
59;5;B;RUE;de la solidarite;77118;Appartement;35.32;40;2
60;4;;ALL;helene lazareff;78350;Appartement;89.41;89;4
61;1;;AV;de denton;78423;Appartement;106.19;107;5
62;15;;RUE;robert desnos;78545;Appartement;67.76;70;4
63;1;;RUE;mal de lattre de tassigny;78545;Appartement;40.55;40;2
64;53;;RUE;de mareil;78551;Appartement;84.31;142;5
65;1;;RUE;maeterlinck;78586;Appartement;74.0;74;3
66;2;;RUE;division leclerc;78640;Appartement;49.16;48;2
67;0;;;les savels;83062;Appartement;50.74;50;2
68;31;;AV;de la sabliere capte;83069;Appartement;20.15;20;1
69;9100;;RES;le grand soleil;83112;Appartement;47.52;38;2
70;8;;ALL;des paquerettes;83123;Maison;86.92;91;5
71;43;;RUE;campane;84007;Appartement;37.24;40;2
72;78;;RUE;carnot;85047;Appartement;43.12;45;2
73;20;B;ALL;du haut poitou;86062;Appartement;30.42;30;1
74;9007;;RUE;des douves;86194;Appartement;71.03;75;4
75;14;;RUE;du cluzeau;87075;Appartement;62.95;62;2
76;8;;RUE;georges beljean;87085;Appartement;43.54;43;2
77;2;;RUE;d adelaiau;91249;Appartement;128.34;128;5
78;6;;RUE;de la division leclerc;91689;Appartement;43.42;43;2
79;79;;RUE;de varsovie;92025;Appartement;49.45;55;3
80;5;;BD;georges clemenceau;92026;Appartement;62.1;65;3
81;32;;RUE;georges thoretton;92036;Appartement;59.35;59;3
82;74;;RUE;jules guesde;92044;Appartement;52.85;55;2
83;35;;AV;sainte foy;93032;Maison;106.31;90;4
84;4;;ALL;josephine;93051;Appartement;77.93;77;4
85;129;;ALL;jules auffret;93057;Appartement;46.0;46;2
86;1;;PL;gaston bussiere;93071;Appartement;24.63;24;2
87;21;;RUE;claude bernard;94044;Appartement;67.1;67;3
88;18;;RUE;de provence;94060;Maison;80.0;66;4
89;4;;RUE;du clos saint nicolas;94060;Appartement;48.02;49;2
90;7;;RUE;de l egalite;94080;Appartement;16.37;17;1
91;16;;RUE;de la fosse aux biches;95252;Appartement;72.53;69;4
92;57;;ALL;du vexin;95388;Maison;90.07;93;5
93;9004;;RES;les lignieres;95607;Appartement;57.1;56;3
94;9;;RUE;neuve;1262;Appartement;41.82;47;1
95;27;;RUE;fernand thuillart;2408;Appartement;165.11;156;6
96;2;;RUE;denain;3190;Appartement;124.01;77;3
97;7052;;RES;les chenevriers;4073;Appartement;24.32;25;1
98;7102;;PL;de l engien;4166;Appartement;106.43;133;4
99;9002;;PL;du docteur robert;4209;Appartement;32.89;33;1
100;15;;AV;niquet;6004;Appartement;37.66;41;2
101;7;;CHE;de saint laurent;6027;Appartement;58.42;58;3
102;8;;RUE;rossini;6088;Appartement;99.04;98;4
103;27;;RUE;lamartine;6088;Appartement;30.2;95;3
104;4;;AV;valrose;6088;Appartement;68.75;68;3
105;15;B;AV;victor cauvin;6159;Appartement;56.05;58;2
106;5;;IMP;du chant de l alouette;10323;Appartement;55.5;52;3
